Sport,Rank,Popularity,Endurance,Strength,Power,Speed,Agility,Flexibility,Nerve,Durability,Hand-Eye Coordination,Analytical Aptitude,Total,Popularity_Total
Skateboarding,37,5,4.13,3.75,3.75,4.13,6.13,5.13,6.5,5.25,4.88,3.13,46.75,0.0833333333333333
Rowing,39,5,8.13,7.75,7.13,4,2.5,4,1.75,4.38,2.88,3.63,46.125,0.0833333333333333
Water Skiing,46,5,4.63,5,4.5,3,4.25,4.75,5.88,4.63,4.13,3.25,44,0.0833333333333333
Canoe/Kayak,49,5,6.75,5.25,5.63,3.5,2.75,3.88,3.63,3.25,3.13,4.25,42,0.0833333333333333
Curling,56,5,2.25,2.63,2.5,1.5,2.25,2.63,1.75,1.5,4.88,5.63,27.5,0.0833333333333333
Bowling,57,5,2.25,2.75,3.38,1,1.88,2.38,1.63,1.25,4.75,4.13,25.375,0.0833333333333333
Rodeo: Steer Wrestling,15,3.3,4,7,7.88,3.88,4.88,5,7.88,6.88,5.13,4,56.5,0.055
Rodeo: Calf Roping,40,3.3,3.13,5.38,5,4.25,5.63,3.88,4.88,3.75,6.38,3.75,46,0.055
Rodeo: Bull/Bareback/Bronc Riding,42,3.3,3.25,5.38,4,1.75,3.63,4.25,9.5,7.38,3.63,3.13,45.875,0.055
Cheerleading,52,0,3.63,3.63,3.38,2.25,4.13,7.5,3.63,3.38,2.5,2.25,36.25,0
Fishing,60,0,1.38,1.63,1.25,0.63,1.5,1.13,0.88,0.88,2.38,2.88,14.5,0
